,区县,学区,小学名称,数据库id,小学名称-清理,confidence,level,precise,0,lat,lng,note
7,东城,安定门、交道口学区,北京市第五中学分校附属方家胡同小学,14698,北京市第五中学分校附属方家胡同小学,60,教育,0,,39.94296909718591,116.407663357704,
15,东城,安定门、交道口学区,分司厅小学,14993,分司厅小学,60,教育,0,,39.941864046600855,116.39924220980897,
27,东城,安定门、交道口学区,府学胡同小学,15323,府学胡同小学,75,教育,1,,39.93446495061395,116.403655046463,
31,东城,安定门、交道口学区,黑芝麻胡同小学,18247,黑芝麻胡同小学,70,教育,1,,39.937154512553064,116.39558120673838,
46,东城,北新桥、东直门学区,景山学校北校区小学部,10830,景山学校北校区小学部,60,UNKNOWN,0,,39.917437756110644,116.40872072401575,
49,东城,北新桥、东直门学区,东四十四条小学,12808,东四十四条小学,80,教育,1,,39.93519242259733,116.41603543064748,
70,东城,北新桥、东直门学区,史家实验小学（原曙光小学）,11977,史家实验小学,75,教育,1,,39.936290229598484,116.43146036200038,
78,东城,北新桥、东直门学区,史家小学分校,15562,史家小学分校,80,教育,1,,39.933877299930785,116.42444736113151,
89,东城,北新桥、东直门学区,西中街小学,10597,西中街小学,80,教育,1,,39.93880124800048,116.43475137602066,
103,东城,北新桥、东直门学区,东直门中学雍和宫小学部,11155,东直门中学雍和宫小学部,80,教育,1,,39.94599805343046,116.41253815458677,
105,东城,北新桥、东直门学区,中央工艺美院附中艺美小学,9470,中央工艺美院附中艺美小学,80,教育,1,,39.94385385555962,116.43906669231562,
122,东城,东花市、崇文门、前门学区,崇文小学,16302,崇文小学,,,,,39.89382154541539,116.42269267891422,手动查询
128,东城,东花市、崇文门、前门学区,回民实验小学,10096,回民实验小学,80,教育,1,,39.89644740807073,116.42177528175351,
137,东城,东花市、崇文门、前门学区,前门小学,10056,前门小学,75,教育,1,,39.897146078170984,116.40709016687525,
148,东城,东花市、崇文门、前门学区,文汇小学,,文汇小学,80,教育,1,,39.89490424613708,116.44050942502479,
163,东城,东花市、崇文门、前门学区,广渠门中学附属花市小学,15754,广渠门中学附属花市小学,80,教育,1,,39.89865539861764,116.42538322610902,
170,东城,东四、朝阳门、建国门学区,第二中学新鲜小学,8474,第二中学新鲜小学,80,UNKNOWN,1,,39.91969161062183,116.42348762299041,
173,东城,东四、朝阳门、建国门学区,东四九条小学,15131,东四九条小学,80,教育,1,,39.931698343004285,116.41225285220884,
187,东城,东四、朝阳门、建国门学区,史家小学低年级部,,史家小学低年级部,80,教育,1,,39.91714010973566,116.41235392656924,
192,东城,东四、朝阳门、建国门学区,西总布小学,10094,西总布小学,80,教育,1,,39.910875547175024,116.41799099580271,
198,东城,东四、朝阳门、建国门学区,新开路东总布小学,8342,新开路东总布小学,80,教育,1,,39.91030278695398,116.4151376973383,
204,东城,和平里学区,第一七一中学青年湖小学部,12376,第一七一中学青年湖小学部,80,教育,1,,39.95561448098479,116.3922296893333,
224,东城,和平里学区,安外三条小学,12511,安外三条小学,80,教育,1,,39.95285369733118,116.4004910835796,
229,东城,和平里学区,地坛小学,12235,地坛小学,80,教育,1,,39.95158366622411,116.39816958527258,
230,东城,和平里学区,和平里第九小学,10589,和平里第九小学,80,教育,1,,39.95938129312963,116.41556159499255,
240,东城,和平里学区,和平里第三小学,,和平里第三小学,80,教育,1,,39.96116551280637,116.40759383442884,
253,东城,和平里学区,和平里第四小学,11647,和平里第四小学,80,教育,1,,39.95624930246106,116.42264155636731,
261,东城,和平里学区,和平里第一小学,16915,和平里第一小学,80,教育,1,,39.95635945112728,116.4133896107896,
265,东城,景山、东华门学区,北京市第一六六中学附属校尉胡同小学,14465,北京市第一六六中学附属校尉胡同小学,80,UNKNOWN,1,,39.91330579076672,116.40836801034482,
268,东城,景山、东华门学区,灯市口小学,12818,灯市口小学,80,教育,1,,39.91905618018236,116.40775978157576,
277,东城,景山、东华门学区,东交民巷小学,14467,东交民巷小学,80,教育,1,,39.901830563743616,116.40652120466001,
287,东城,龙潭、体育馆路学区,板厂小学,16303,板厂小学,80,教育,1,,39.88384039137145,116.43440220139149,
