,区县,学区,小学名称,数据库id,小学名称-清理,confidence,level,precise,0,lat,lng,note
7,东城,安定门、交道口学区,北京市第五中学分校附属方家胡同小学,14698,北京市第五中学分校附属方家胡同小学,60,教育,0,,39.95062900808122,116.42030374870394,
15,东城,安定门、交道口学区,分司厅小学,14993,分司厅小学,60,教育,0,,39.94959997517572,116.41186055455462,
27,东城,安定门、交道口学区,府学胡同小学,15323,府学胡同小学,75,教育,1,,39.94216724077105,116.41627790003551,
31,东城,安定门、交道口学区,黑芝麻胡同小学,18247,黑芝麻胡同小学,70,教育,1,,39.944901830146186,116.40819268422514,
46,东城,北新桥、东直门学区,景山学校北校区小学部,10830,景山学校北校区小学部,60,UNKNOWN,0,,39.92508213542261,116.42135936188158,
49,东城,北新桥、东直门学区,东四十四条小学,12808,东四十四条小学,80,教育,1,,39.9427215026554,116.42870501803678,
70,东城,北新桥、东直门学区,史家实验小学（原曙光小学）,11977,史家实验小学,75,教育,1,,39.943525,116.4442,
78,东城,北新桥、东直门学区,史家小学分校,15562,史家小学分校,80,教育,1,,39.94124658011518,116.43715599779996,
89,东城,北新桥、东直门学区,西中街小学,10597,西中街小学,80,教育,1,,39.945977920449835,116.44750372449488,
103,东城,北新桥、东直门学区,东直门中学雍和宫小学部,11155,东直门中学雍和宫小学部,80,教育,1,,39.953588705598555,116.42519997007251,
105,东城,北新桥、东直门学区,中央工艺美院附中艺美小学,9470,中央工艺美院附中艺美小学,80,教育,1,,39.95096316772492,116.45183366305302,
122,东城,东花市、崇文门、前门学区,崇文小学,16302,崇文小学,,,,,39.901231,116.435411,手动查询
128,东城,东花市、崇文门、前门学区,回民实验小学,10096,回民实验小学,80,教育,1,,39.903874,116.434487,
137,东城,东花市、崇文门、前门学区,前门小学,10056,前门小学,75,教育,1,,39.90481616628943,116.41973772280888,
148,东城,东花市、崇文门、前门学区,文汇小学,,文汇小学,80,教育,1,,39.901997,116.45329,
163,东城,东花市、崇文门、前门学区,广渠门中学附属花市小学,15754,广渠门中学附属花市小学,80,教育,1,,39.906010835977575,116.43810997669222,
170,东城,东四、朝阳门、建国门学区,第二中学新鲜小学,8474,第二中学新鲜小学,80,UNKNOWN,1,,39.927079587601426,116.43619128864837,
173,东城,东四、朝阳门、建国门学区,东四九条小学,15131,东四九条小学,80,教育,1,,39.939290627283405,116.42490442845803,
187,东城,东四、朝阳门、建国门学区,史家小学低年级部,,史家小学低年级部,80,教育,1,,39.92473118452916,116.42500702123542,
192,东城,东四、朝阳门、建国门学区,西总布小学,10094,西总布小学,80,教育,1,,39.918370288471294,116.43067297813785,
198,东城,东四、朝阳门、建国门学区,新开路东总布小学,8342,新开路东总布小学,80,教育,1,,39.91784885173904,116.42780683918788,
204,东城,和平里学区,第一七一中学青年湖小学部,12376,第一七一中学青年湖小学部,80,教育,1,,39.96336715392442,116.40485756781588,
224,东城,和平里学区,安外三条小学,12511,安外三条小学,80,教育,1,,39.96058584966587,116.41312192371105,
